code,content
90,"When program limit of take-out side area is OFF, please perform home return operation after it is switched over to operation mode at [home return] position."
91,Main arm ascent limit (X03) is OFF Please perform home return operation after it is switched over to operation mode at [home return] position.
92,Sub-arm ascent limit (X11) is OFF. Please perform home return operation after it is switched over to operation mode at [home return] position.
93,Product confirmation (X04) is ON Please open the product after it is switched over to operation mode at [manual operation] position.
94,In-clamp product confirmation (X06) is ON. Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation (X05) is ON
95,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation (X05) is ON Please open the product after it is switched over to operation mode at [manual operation] position. When fixed and moving switching mode (FCKO) is available When fixed and moving switching mode (FCKO) is available
96,Runnert confirmation (X12) is ON Please open the runner after it is switched over to operation mode at [manual operation] position.
97,Posture return limit (X08) is OFF Please perform home return operation after it is switched over to operation mode at [home return] position.
98,Please execute segment fetch and exchange by manual operation.
99,NT scissor pulling (Y13) is ON Please perform home return operation after it is switched over to operation mode at [home return] position.
100,Swinging return limit (X17) is OFF Please perform home return operation after it is switched over to operation mode at [home return] position.
101,Swinging action limit (X18) is OFF Please perform home return operation after it is switched over to operation mode at [home return] position.
102,Release side standby position is OFF When release side Please perform home return operation after it is switched over to operation standby mode mode at [home return] position.
103,Program limit of release side area is OFF (FCYT) is available When travel Please perform home return operation after it is switched over to operation standby mode mode at [home return] position.
104,Posture action limit (X09) is OFF Please perform home return operation after it is switched over to operation mode at [home return] position.
105,"Posture action limit (X09) is OFF home return operation is not executed Convert when manual operation, and please execute posture action. (FCYT) is available When travel standby mode (FCYT) is available"
106,Posture action limit is OFF Please make arm return to safe area And then execute posture action.
108,vacuum confirmation 2 (X13) is ON Please open the product after it is switched over to operation mode at [manual operation] position.
109,Automatic operation cannot be performed. Please perform home return operation after it is switched over to operation mode at [home return] position. Inappropriate home Program limit of release side area OFF
110,Please perform home return operation after it is switched over to operation mode at [home return] position. Inappropriate home Program limit of release side area OFF Make the robot travel to release side until program limit of release side area is ON via free operation.
111,Clamp confirmation is OFF Please confirm that the clamp is indeed installed after it is switched over to operation mode at [manual operation] position.
189,"When horizontal standby locking limit mould mode is used, please set the horizontal status of traverse posture Inappropriate home runner confirmation (X12) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home Product confirmation (X04) is at confirmation status"
190,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home Product confirmation (X04) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 1 (X05) is at confirmation status
191,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 1 (X05) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home In-clamp confirmation (X06) is at confirmation status
192,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home In-clamp confirmation (X06) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 2(X13) is at confirmation status
193,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 2(X13) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 3(X64) is at confirmation status
194,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 3(X64) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 4(X65) is at confirmation status
195,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 4(X65) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position.
196,vacuum confirmation 2(X66) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 3(X67) is at confirmation status
197,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 3(X67) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 4(X68) is at confirmation status
198,Please open the product after it is switched over to operation mode at [manual operation] position. Inappropriate home vacuum confirmation 4(X68) is at confirmation status Please open the product after it is switched over to operation mode at [manual operation] position.
