code,content
01,SUM error MAIN CPU ROM data Please confirm whether there is any problem when calibration error MAIN system program is downloaded. Re-download MAIN system program. Please replace mainboard if it reoccurs. Please turn off the primary power supply.
02,External F-ROM1 MAIN CPU external Please confirm whether there is any problem when accessor error F-ROM1 accessor error external F-ROM1 data is downloaded Re-download external F-ROM1 data. Please PENDANT substrate if it reoccurs. Please turn off the primary power supply.
03,External F-ROM1 External F-ROM1 data Please confirm whether there is any problem when SUM error calibration error external F-ROM1 data is downloaded Re-download external F-ROM1 data. Please PENDANT substrate if it reoccurs. Please turn off the primary power supply.
04,"External F-ROM2 MAIN CPU external Please turn off the primary power supply. access error F-ROM2 access error If it occurs again, please exchange PENDANT substrate."
05,"External F-ROM2 External F-ROM2 data Initialize the initial set value of all segment fetch data calibration error calibration error and exchange data. Reset the segment fetch and exchange data. If it occurs again, please exchange PENDANT substrate."
06,"Backup data is The backup data has abnormal Initialize all the set values. abnormal phenomenon. Reset the segment fetch and exchange data. Press [reset] key to return to initial screen. If it occurs again (except for backup clear), please exchange PENDANT substrate."
07,"The model setting in Please confirm whether the model setting on interlocking substrate is setting screen of operating box system is consistent inconsistent with the internal with the model. setting of operating box. If the model in operating box is reset, please execute backup clear operation! Please turn off the primary power supply."
08,"Ladder diagram Ladder diagram command Please confirm that there is any problem when command error check error, abnormal ladder diagram data is downloaded. command is executed Re-download the ladder diagram data. If it occurs again, please exchange CPU substrate. Please turn off the primary power supply."
09,"SUM error PENDANT CPU ROM data Please confirm that there is any problem when check error PENDANT data is downloaded. Re-download the PENDANT data. If it occurs again, please exchange PENDANT substrate. Please turn off the primary power supply."
10,The voltage of backup The voltage of backup battery Please exchange the backup battery. battery is dropping. is dropping.
11,"PENDANT Communication is abnormal Please perform point inspection for PENDANT communication is (between MAIN substrate~ wiring. abnormal PENDANT) If it occurs again, please exchange main substrate or PENDANT. Please turn off the primary power supply."
21,Communication is Communication is abnormal abnormal (between MAIN substrate~ PENDANT)
22,"Communication is Communication is abnormal Please inspect the communication wiring between abnormal (between MAIN substrate~ substrates. PPC substrate) If it occurs again, please exchange MAIN substrate or PPC substrate. Please turn off the primary power supply."
31,"I/O substrate (ID0) Communication is abnormal Please confirm the ID setting of I/O substrate. communication is (between PPC substrate~I/O Please perform point inspection for communication abnormal substrate (ID0)) wiring between substrates. If it occurs again, please exchange PPC substrate or I/O substrate (ID0). Please turn off the primary power supply."
32,"I/O substrate (ID1) Communication is abnormal Please confirm the ID setting of I/O substrate. communication is (between PPC substrate~I/O Please perform point inspection for communication abnormal substrate (ID1)) wiring between substrates. If it occurs again, please exchange PPC substrate or I/O substrate (ID1). Please turn off the primary power supply."
33,"I/O substrate (ID2) Communication is abnormal Please confirm the ID setting of I/O substrate. communication is (between PPC substrate~I/O Please perform point inspection for communication abnormal substrate (ID2)) wiring between substrates. If it occurs again, please exchange PPC substrate or I/O substrate (ID2). Please turn off the primary power supply."
34,"I/O substrate (ID3) Communication is abnormal Please confirm the ID setting of I/O substrate. communication is (between PPC substrate~I/O Please perform point inspection for communication abnormal substrate (ID3)) wiring between substrates. If it occurs again, please exchange PPC substrate or I/O substrate (ID3). Please turn off the primary power supply."
35,"I/O substrate (ID4) Communication is abnormal Please confirm the ID setting of I/O substrate. communication is (between PPC substrate~I/O Please perform point inspection for communication abnormal substrate (ID4)) wiring between substrates. If it occurs again, please exchange PPC substrate or I/O substrate (ID4). Please turn off the primary power supply."
36,"I/O substrate (ID5) Communication is abnormal Please confirm the ID setting of I/O substrate. communication is (between PPC substrate~I/O Please perform point inspection for communication abnormal substrate (ID5)) wiring between substrates. If it occurs again, please exchange PPC substrate or I/O substrate (ID5). Please turn off the primary power supply."
37,"I/O substrate (ID6) Communication is abnormal Please confirm the ID setting of I/O substrate. communication is (between PPC substrate~I/O Please perform point inspection for communication abnormal substrate (ID6)) wiring between substrates. If it occurs again, please exchange PPC substrate or I/O substrate (ID6). Please turn off the primary power supply."
38,"I/O substrate (ID7) Communication is abnormal Please confirm the ID setting of I/O substrate. communication is (between PPC substrate~I/O Please perform point inspection for communication abnormal substrate (ID7)) wiring between substrates. If it occurs again, please exchange PPC substrate or I/O substrate (ID7). Please turn off the primary power supply."
40,"Voltage of driving Voltage of driving power is too Please confirm the voltage and wiring of main power is abnormal low power supply. Please confirm the voltage and wiring of switching power supply. If it occurs again, please exchange switching power supply or MAIN substrate. Please turn off the primary power supply."
41,"Instantaneous stop of Instantaneous stop of main Please confirm the voltage and wiring of main main power supply power supply power supply. Please confirm the voltage and wiring of main power supply. If it occurs again, please exchange MAIN substrate. Please turn off the primary power supply."
42,Voltage of control Voltage of control power supply power supply is is too low abnormal
43,"High voltage of servo Voltage of servo power Please confirm the voltage and wiring of servo power supply is supply is too high power supply. abnormal Please confirm the connection and wiring of retrogradation resistance. If it occurs again, please exchange power substrate or I/O substrate (ID1). Please turn off the primary power supply."
44,"Low voltage of servo Voltage of servo power Please confirm the voltage and wiring of main power supply is supply is too low power supply. abnormal Please confirm the voltage and wiring of servo power supply. If it occurs again, please exchange power substrate or I/O substrate (ID1). Please turn off the primary power supply."
45,"Retrogradation Retrogradation load has Please confirm the voltage of main power supply, resistance is abnormal exceeded the specified value. voltage of servo power supply, connection and wiring of retrogradation resistance. Please prolong the acceleration and deceleration time."
46,"Resolver backup is The voltage of backup power of Please confirm the voltage of backup power of abnormal resolver is abnormal. resolver. If it occurs again, please exchange power substrate or I/O substrate (ID1). Please turn off the primary power supply. Please confirm it when battery exists, exchange the battery. It also can act even if the power supply is turned off."
47,"Retrogradation Retrogradation resistance is Please confirm the voltage of main power supply, resistance is abnormal overheating voltage of servo power supply, connection and (overheating) wiring of retrogradation resistance. Please prolong the acceleration and deceleration time. If it occurs again, please exchange power substrate or I/O substrate (ID1). Please turn off the primary power supply. ■List for axis alarm"
